Time[s], D+, D-
6.242410040000000, 1, 0
6.242410160000000, 0, 0
6.242410320000000, 1, 0
6.243407520000000, 0, 1
6.243407600000000, 1, 0
6.243407680000000, 0, 1
6.243407760000000, 1, 0
6.243407840000000, 0, 1
6.243407920000000, 1, 0
6.243408000000001, 0, 1
6.243408240000000, 1, 1
6.243408280000000, 1, 0
6.243408440000001, 0, 1
6.243408520000000, 1, 0
6.243408680000000, 0, 1
6.243408840000000, 1, 0
6.243408920000000, 0, 1
6.243409000000000, 1, 0
6.243409080000000, 0, 1
6.243409360000000, 1, 0
6.243409440000000, 0, 1
6.243409600000001, 1, 0
6.243409760000000, 0, 1
6.243410200000000, 0, 0
6.243410360000000, 1, 0
6.244407560000000, 0, 1
6.244407640000000, 1, 0
6.244407720000000, 0, 1
6.244407800000000, 1, 0
6.244407880000000, 0, 1
6.244407960000000, 1, 0
6.244408040000000, 0, 1
6.244408320000000, 1, 0
6.244408480000000, 0, 1
6.244408560000000, 1, 0
6.244408720000000, 0, 1
6.244408960000000, 1, 0
6.244409040000000, 0, 1
6.244409120000000, 1, 0
6.244409400000000, 0, 1
6.244409480000000, 1, 0
6.244409640000000, 0, 1
6.244409880000000, 1, 0
6.244409960000000, 0, 1
6.244410040000000, 1, 0
6.244410120000000, 0, 1
6.244410240000001, 0, 0
6.244410400000000, 1, 0
6.245407600000000, 0, 1
6.245407680000000, 1, 0
6.245407760000000, 0, 1
6.245407840000000, 1, 0
6.245407920000000, 0, 1
6.245408000000000, 1, 0
6.245408080000000, 0, 1
6.245408360000000, 1, 0
6.245408520000000, 0, 1
6.245408600000000, 1, 0
6.245408760000000, 0, 1
6.245408920000000, 1, 0
6.245409080000000, 0, 1
6.245409160000000, 1, 0
6.245409440000000, 0, 1
6.245409520000000, 1, 0
6.245409680000000, 0, 1
6.245409920000000, 1, 0
6.245410000000001, 0, 1
6.245410160000000, 1, 0
6.245410280000000, 0, 0
6.245410440000001, 1, 0
6.246407640000000, 0, 1
6.246407720000001, 1, 0
6.246407800000000, 1, 1
6.246407840000000, 0, 1
6.246407920000000, 1, 0
6.246408000000000, 0, 1
6.246408080000000, 1, 0
6.246408160000001, 0, 1
6.246408400000000, 1, 0
6.246408560000000, 0, 1
6.246408640000000, 1, 0
6.246408800000000, 1, 1
6.246408840000000, 0, 1
6.246409160000000, 1, 0
6.246409240000000, 0, 1
6.246409480000001, 1, 0
6.246409560000000, 0, 1
6.246409720000000, 1, 0
6.246409920000001, 0, 1
6.246410160000000, 1, 0
6.246410320000000, 0, 0
6.246410480000000, 1, 0
6.247407680000000, 1, 1
6.247407720000000, 0, 1
6.247407760000000, 1, 1
6.247407800000000, 1, 0
6.247407880000000, 0, 1
6.247407960000000, 1, 0
6.247408040000000, 0, 1
6.247408120000000, 1, 0
6.247408200000000, 0, 1
6.247408440000000, 1, 0
6.247408600000000, 0, 1
6.247408680000000, 1, 0
6.247408880000000, 0, 1
6.247409040000000, 1, 0
6.247409120000000, 0, 1
6.247409280000000, 1, 0
6.247409520000000, 0, 1
6.247409600000000, 1, 0
6.247409760000000, 1, 1
6.247409800000000, 0, 1
6.247410040000000, 1, 0
6.247410120000001, 0, 1
6.247410360000000, 0, 0
6.247410520000000, 1, 0
6.248407720000000, 0, 1
6.248407800000000, 1, 1
6.248407840000000, 1, 0
6.248407920000000, 0, 1
6.248408000000000, 1, 0
6.248408080000000, 0, 1
6.248408160000000, 1, 0
6.248408240000000, 0, 1
6.248408480000000, 1, 0
6.248408640000000, 0, 1
6.248408720000000, 1, 0
6.248408920000000, 0, 1
6.248409160000000, 1, 0
6.248409320000000, 0, 1
6.248409560000000, 1, 0
6.248409640000000, 0, 1
6.248409800000000, 1, 1
6.248409840000000, 1, 0
6.248410000000000, 0, 1
6.248410240000000, 1, 0
6.248410320000001, 0, 1
6.248410400000000, 0, 0
6.248410560000000, 1, 0
6.249407760000000, 1, 1
6.249407800000000, 0, 1
6.249407840000000, 1, 1
6.249407880000000, 1, 0
6.249407960000000, 0, 1
6.249408040000000, 1, 0
6.249408120000000, 0, 1
6.249408200000000, 1, 0
6.249408280000000, 0, 1
6.249408520000000, 1, 0
6.249408680000000, 0, 1
6.249408760000001, 1, 1
6.249408800000000, 1, 0
6.249408960000000, 0, 1
6.249409120000000, 1, 0
6.249409360000000, 0, 1
6.249409600000000, 1, 0
6.249409680000000, 0, 1
6.249409880000000, 1, 0
6.249410040000000, 0, 1
6.249410360000000, 1, 0
6.249410440000000, 0, 0
6.249410600000000, 1, 0
6.250407840000000, 0, 1
6.250407920000000, 1, 0
6.250408000000000, 0, 1
6.250408080000000, 1, 0
6.250408160000000, 0, 1
6.250408240000001, 1, 0
