Time [s],Byte
12.048593312500000,0x88
12.048593875000000,0xA5
12.048594562500000,0xAA
12.048595250000000,0x9B
12.077594625000000,0x88
12.077595187500000,0xA5
12.077595875000000,0xC7
12.077596500000000,0xFB
12.116596375000000,0x88
12.116596937500001,0xA5
12.116597625000001,0xEE
12.116598249999999,0xFB
12.123596687499999,0x88
12.123597250000000,0xA5
12.123597937500000,0xF5
12.123598625000000,0x2B
12.429610437499999,0x88
12.429611000000000,0xA5
12.429611687500000,0x27
12.429612312500000,0x6D
12.450611374999999,0x88
12.450611937500000,0xA5
12.450612625000000,0x3C
12.450613250000000,0xBD
12.478612625000000,0x88
12.478613187500001,0xA5
12.478613875000001,0x58
12.478614500000001,0x55
12.479612687500000,0x88
12.479613250000000,0xA5
12.479613937500000,0x59
12.479614562500000,0xAD
12.482612812499999,0x88
12.482613375000000,0xA5
12.482614062500000,0x5C
12.482614687500000,0x6D
12.491613250000000,0x88
12.491613812500001,0xA5
12.491614500000001,0x65
12.491615124999999,0x8D
12.500613625000000,0x88
12.500614187500000,0xA5
12.500614875000000,0x6E
12.500615500000000,0xBD
12.507613937500000,0x88
12.507614500000001,0xA5
12.507615187500001,0x75
12.507615812499999,0x6D
12.557616187500001,0x88
12.557616749999999,0xA5
12.557617437499999,0xA7
12.557618124999999,0xDD
12.564616500000000,0x88
12.564617062500000,0xA5
12.564617750000000,0xAE
12.564618437500000,0x55
12.642620000000001,0x88
12.642620562499999,0xA5
12.642621249999999,0xFC
12.642621937500000,0x55
12.692622249999999,0x88
12.692622812500000,0xA5
12.692623500000000,0x2E
12.692624125000000,0x9E
12.731624000000000,0x88
12.731624562500000,0xA5
12.731625250000000,0x55
12.731625875000001,0x9E
12.770625750000001,0x88
12.770626312499999,0xA5
12.770626999999999,0x7C
12.770627624999999,0x9E
12.865629999999999,0x88
12.865630562500000,0xA5
12.865631250000000,0xDB
12.865631875000000,0xDE
12.890631125000001,0x88
12.890631687500001,0xA5
12.890632374999999,0xF4
12.890632999999999,0x5E
12.944633562500000,0x88
12.944634125000000,0xA5
12.944634812500000,0x2A
12.944635437500001,0x8F
12.948633750000001,0x88
12.948634312499999,0xA5
12.948634999999999,0x2E
12.948635625000000,0xB7
12.954634000000000,0x88
12.954634562500001,0xA5
12.954635250000001,0x34
12.954635874999999,0x9F
12.965634500000000,0x88
12.965635062500001,0xA5
12.965635750000001,0x3F
12.965636437500001,0xAF
12.976635000000000,0x88
12.976635562500000,0xA5
12.976636250000000,0x4A
12.976636875000001,0x5F
13.004636250000001,0x88
13.004636812499999,0xA5
